date,realtime_end,realtime_start,value
1995-01-01,2026-08-03,2026-08-03,84.4175
1995-02-01,2026-08-03,2026-08-03,83.9078
1995-03-01,2026-08-03,2026-08-03,83.8217
1995-04-01,2026-08-03,2026-08-03,83.2082
1995-05-01,2026-08-03,2026-08-03,83.1916
1995-06-01,2026-08-03,2026-08-03,83.2331
1995-07-01,2026-08-03,2026-08-03,82.3071
1995-08-01,2026-08-03,2026-08-03,82.8963
1995-09-01,2026-08-03,2026-08-03,83.25
1995-10-01,2026-08-03,2026-08-03,82.7324
1995-11-01,2026-08-03,2026-08-03,82.4035
1995-12-01,2026-08-03,2026-08-03,82.2529
1996-01-01,2026-08-03,2026-08-03,81.2592
1996-02-01,2026-08-03,2026-08-03,82.0152
1996-03-01,2026-08-03,2026-08-03,81.4024
1996-04-01,2026-08-03,2026-08-03,81.9406
1996-05-01,2026-08-03,2026-08-03,82.1342
1996-06-01,2026-08-03,2026-08-03,82.4584
1996-07-01,2026-08-03,2026-08-03,82.38
1996-08-01,2026-08-03,2026-08-03,82.3084
1996-09-01,2026-08-03,2026-08-03,82.4969
1996-10-01,2026-08-03,2026-08-03,82.0128
1996-11-01,2026-08-03,2026-08-03,82.3142
1996-12-01,2026-08-03,2026-08-03,82.5699
1997-01-01,2026-08-03,2026-08-03,82.2119
1997-02-01,2026-08-03,2026-08-03,82.8966
1997-03-01,2026-08-03,2026-08-03,83.2201
1997-04-01,2026-08-03,2026-08-03,82.7028
1997-05-01,2026-08-03,2026-08-03,82.788
1997-06-01,2026-08-03,2026-08-03,82.7944
1997-07-01,2026-08-03,2026-08-03,82.902
1997-08-01,2026-08-03,2026-08-03,83.3485
1997-09-01,2026-08-03,2026-08-03,83.5136
1997-10-01,2026-08-03,2026-08-03,83.6688
1997-11-01,2026-08-03,2026-08-03,83.8583
1997-12-01,2026-08-03,2026-08-03,83.6515
1998-01-01,2026-08-03,2026-08-03,83.6492
1998-02-01,2026-08-03,2026-08-03,83.1551
1998-03-01,2026-08-03,2026-08-03,82.3971
1998-04-01,2026-08-03,2026-08-03,82.1691
1998-05-01,2026-08-03,2026-08-03,82.0271
1998-06-01,2026-08-03,2026-08-03,80.8666
1998-07-01,2026-08-03,2026-08-03,80.0244
1998-08-01,2026-08-03,2026-08-03,81.4968
1998-09-01,2026-08-03,2026-08-03,80.9731
1998-10-01,2026-08-03,2026-08-03,81.2168
1998-11-01,2026-08-03,2026-08-03,80.9192
1998-12-01,2026-08-03,2026-08-03,81.0067
1999-01-01,2026-08-03,2026-08-03,80.8313
1999-02-01,2026-08-03,2026-08-03,81.1755
1999-03-01,2026-08-03,2026-08-03,80.8083
1999-04-01,2026-08-03,2026-08-03,80.7354
1999-05-01,2026-08-03,2026-08-03,81.0344
1999-06-01,2026-08-03,2026-08-03,80.4957
1999-07-01,2026-08-03,2026-08-03,80.4847
1999-08-01,2026-08-03,2026-08-03,80.634
1999-09-01,2026-08-03,2026-08-03,79.9785
1999-10-01,2026-08-03,2026-08-03,80.7666
1999-11-01,2026-08-03,2026-08-03,80.9602
1999-12-01,2026-08-03,2026-08-03,81.1849
2000-01-01,2026-08-03,2026-08-03,80.8292
2000-02-01,2026-08-03,2026-08-03,80.6792
2000-03-01,2026-08-03,2026-08-03,80.8587
2000-04-01,2026-08-03,2026-08-03,81.0265
2000-05-01,2026-08-03,2026-08-03,80.701
2000-06-01,2026-08-03,2026-08-03,80.5159
2000-07-01,2026-08-03,2026-08-03,80.2704
2000-08-01,2026-08-03,2026-08-03,79.4606
2000-09-01,2026-08-03,2026-08-03,79.5715
2000-10-01,2026-08-03,2026-08-03,78.9447
2000-11-01,2026-08-03,2026-08-03,78.447
2000-12-01,2026-08-03,2026-08-03,77.6908
2001-01-01,2026-08-03,2026-08-03,77.1264
2001-02-01,2026-08-03,2026-08-03,76.3313
2001-03-01,2026-08-03,2026-08-03,75.9107
2001-04-01,2026-08-03,2026-08-03,75.3521
2001-05-01,2026-08-03,2026-08-03,74.7304
2001-06-01,2026-08-03,2026-08-03,74.097
2001-07-01,2026-08-03,2026-08-03,73.5073
2001-08-01,2026-08-03,2026-08-03,73.0372
2001-09-01,2026-08-03,2026-08-03,72.5829
2001-10-01,2026-08-03,2026-08-03,72.1596
2001-11-01,2026-08-03,2026-08-03,71.7544
2001-12-01,2026-08-03,2026-08-03,71.7863
2002-01-01,2026-08-03,2026-08-03,72.1618
2002-02-01,2026-08-03,2026-08-03,72.088
2002-03-01,2026-08-03,2026-08-03,72.5091
2002-04-01,2026-08-03,2026-08-03,72.6845
2002-05-01,2026-08-03,2026-08-03,73.0064
2002-06-01,2026-08-03,2026-08-03,73.7004
2002-07-01,2026-08-03,2026-08-03,73.6162
2002-08-01,2026-08-03,2026-08-03,73.6831
2002-09-01,2026-08-03,2026-08-03,73.7166
2002-10-01,2026-08-03,2026-08-03,73.5323
2002-11-01,2026-08-03,2026-08-03,73.9162
2002-12-01,2026-08-03,2026-08-03,73.4884
2003-01-01,2026-08-03,2026-08-03,74.1095
2003-02-01,2026-08-03,2026-08-03,74.0295
2003-03-01,2026-08-03,2026-08-03,74.1193
2003-04-01,2026-08-03,2026-08-03,73.6009
2003-05-01,2026-08-03,2026-08-03,73.6471
2003-06-01,2026-08-03,2026-08-03,73.9947
2003-07-01,2026-08-03,2026-08-03,74.2472
2003-08-01,2026-08-03,2026-08-03,73.9161
2003-09-01,2026-08-03,2026-08-03,74.5478
2003-10-01,2026-08-03,2026-08-03,74.647
2003-11-01,2026-08-03,2026-08-03,75.3087
2003-12-01,2026-08-03,2026-08-03,75.2623
2004-01-01,2026-08-03,2026-08-03,75.2136
2004-02-01,2026-08-03,2026-08-03,75.8069
2004-03-01,2026-08-03,2026-08-03,75.8094
2004-04-01,2026-08-03,2026-08-03,76.0725
2004-05-01,2026-08-03,2026-08-03,76.628
2004-06-01,2026-08-03,2026-08-03,76.1259
2004-07-01,2026-08-03,2026-08-03,76.8104
2004-08-01,2026-08-03,2026-08-03,77.1402
2004-09-01,2026-08-03,2026-08-03,77.1344
2004-10-01,2026-08-03,2026-08-03,77.7669
2004-11-01,2026-08-03,2026-08-03,77.7031
