date,realtime_end,realtime_start,value
1995-01-01,2026-08-01,2026-08-01,2.87081
1995-02-01,2026-08-01,2026-08-01,2.86299
1995-03-01,2026-08-01,2026-08-01,2.78722
1995-04-01,2026-08-01,2026-08-01,3.125
1995-05-01,2026-08-01,2026-08-01,3.11864
1995-06-01,2026-08-01,2026-08-01,3.0426
1995-07-01,2026-08-01,2026-08-01,2.83019
1995-08-01,2026-08-01,2026-08-01,2.61745
1995-09-01,2026-08-01,2026-08-01,2.54521
1995-10-01,2026-08-01,2026-08-01,2.74431
1995-11-01,2026-08-01,2026-08-01,2.60347
1995-12-01,2026-08-01,2026-08-01,2.53165
1996-01-01,2026-08-01,2026-08-01,2.7907
1996-02-01,2026-08-01,2026-08-01,2.71703
1996-03-01,2026-08-01,2026-08-01,2.84392
1996-04-01,2026-08-01,2026-08-01,2.83267
1996-05-01,2026-08-01,2026-08-01,2.82709
1996-06-01,2026-08-01,2026-08-01,2.82152
1996-07-01,2026-08-01,2026-08-01,2.88336
1996-08-01,2026-08-01,2026-08-01,2.8123
1996-09-01,2026-08-01,2026-08-01,3.00457
1996-10-01,2026-08-01,2026-08-01,3.06189
1996-11-01,2026-08-01,2026-08-01,3.25309
1996-12-01,2026-08-01,2026-08-01,3.37882
1997-01-01,2026-08-01,2026-08-01,3.03814
1997-02-01,2026-08-01,2026-08-01,3.03226
1997-03-01,2026-08-01,2026-08-01,2.76527
1997-04-01,2026-08-01,2026-08-01,2.43434
1997-05-01,2026-08-01,2026-08-01,2.23785
1997-06-01,2026-08-01,2026-08-01,2.23357
1997-07-01,2026-08-01,2026-08-01,2.16561
1997-08-01,2026-08-01,2026-08-01,2.29008
1997-09-01,2026-08-01,2026-08-01,2.2194
1997-10-01,2026-08-01,2026-08-01,2.08597
1997-11-01,2026-08-01,2026-08-01,1.89036
1997-12-01,2026-08-01,2026-08-01,1.69705
1998-01-01,2026-08-01,2026-08-01,1.63112
1998-02-01,2026-08-01,2026-08-01,1.4402
1998-03-01,2026-08-01,2026-08-01,1.37672
1998-04-01,2026-08-01,2026-08-01,1.4384
1998-05-01,2026-08-01,2026-08-01,1.68856
1998-06-01,2026-08-01,2026-08-01,1.62297
1998-07-01,2026-08-01,2026-08-01,1.74564
1998-08-01,2026-08-01,2026-08-01,1.61692
1998-09-01,2026-08-01,2026-08-01,1.4268
1998-10-01,2026-08-01,2026-08-01,1.48607
1998-11-01,2026-08-01,2026-08-01,1.48423
1998-12-01,2026-08-01,2026-08-01,1.60692
1999-01-01,2026-08-01,2026-08-01,1.66667
1999-02-01,2026-08-01,2026-08-01,1.66667
1999-03-01,2026-08-01,2026-08-01,1.7284
1999-04-01,2026-08-01,2026-08-01,2.28113
1999-05-01,2026-08-01,2026-08-01,2.09102
1999-06-01,2026-08-01,2026-08-01,1.9656
1999-07-01,2026-08-01,2026-08-01,2.14461
1999-08-01,2026-08-01,2026-08-01,2.26438
1999-09-01,2026-08-01,2026-08-01,2.62997
1999-10-01,2026-08-01,2026-08-01,2.56254
1999-11-01,2026-08-01,2026-08-01,2.62035
1999-12-01,2026-08-01,2026-08-01,2.6764
2000-01-01,2026-08-01,2026-08-01,2.79296
2000-02-01,2026-08-01,2026-08-01,3.21797
2000-03-01,2026-08-01,2026-08-01,3.76214
2000-04-01,2026-08-01,2026-08-01,3.01386
2000-05-01,2026-08-01,2026-08-01,3.13253
2000-06-01,2026-08-01,2026-08-01,3.73494
2000-07-01,2026-08-01,2026-08-01,3.59928
2000-08-01,2026-08-01,2026-08-01,3.35129
2000-09-01,2026-08-01,2026-08-01,3.4565
2000-10-01,2026-08-01,2026-08-01,3.45033
2000-11-01,2026-08-01,2026-08-01,3.44418
2000-12-01,2026-08-01,2026-08-01,3.43602
2001-01-01,2026-08-01,2026-08-01,3.7212
2001-02-01,2026-08-01,2026-08-01,3.52941
2001-03-01,2026-08-01,2026-08-01,2.98246
2001-04-01,2026-08-01,2026-08-01,3.21826
2001-05-01,2026-08-01,2026-08-01,3.56308
2001-06-01,2026-08-01,2026-08-01,3.19396
2001-07-01,2026-08-01,2026-08-01,2.72148
2001-08-01,2026-08-01,2026-08-01,2.72148
