date,realtime_end,realtime_start,value
1995-01-01,2026-08-03,2026-08-03,116505.0
1995-02-01,2026-08-03,2026-08-03,116694.0
1995-03-01,2026-08-03,2026-08-03,116908.0
1995-04-01,2026-08-03,2026-08-03,117066.0
1995-05-01,2026-08-03,2026-08-03,117046.0
1995-06-01,2026-08-03,2026-08-03,117291.0
1995-07-01,2026-08-03,2026-08-03,117382.0
1995-08-01,2026-08-03,2026-08-03,117646.0
1995-09-01,2026-08-03,2026-08-03,117873.0
1995-10-01,2026-08-03,2026-08-03,118026.0
1995-11-01,2026-08-03,2026-08-03,118165.0
1995-12-01,2026-08-03,2026-08-03,118325.0
1996-01-01,2026-08-03,2026-08-03,118317.0
1996-02-01,2026-08-03,2026-08-03,118738.0
1996-03-01,2026-08-03,2026-08-03,118992.0
1996-04-01,2026-08-03,2026-08-03,119158.0
1996-05-01,2026-08-03,2026-08-03,119497.0
1996-06-01,2026-08-03,2026-08-03,119770.0
1996-07-01,2026-08-03,2026-08-03,120019.0
1996-08-01,2026-08-03,2026-08-03,120198.0
1996-09-01,2026-08-03,2026-08-03,120400.0
1996-10-01,2026-08-03,2026-08-03,120665.0
1996-11-01,2026-08-03,2026-08-03,120947.0
1996-12-01,2026-08-03,2026-08-03,121143.0
1997-01-01,2026-08-03,2026-08-03,121356.0
1997-02-01,2026-08-03,2026-08-03,121673.0
1997-03-01,2026-08-03,2026-08-03,121991.0
1997-04-01,2026-08-03,2026-08-03,122289.0
1997-05-01,2026-08-03,2026-08-03,122560.0
1997-06-01,2026-08-03,2026-08-03,122816.0
1997-07-01,2026-08-03,2026-08-03,123114.0
1997-08-01,2026-08-03,2026-08-03,123087.0
1997-09-01,2026-08-03,2026-08-03,123575.0
1997-10-01,2026-08-03,2026-08-03,123924.0
1997-11-01,2026-08-03,2026-08-03,124225.0
1997-12-01,2026-08-03,2026-08-03,124549.0
1998-01-01,2026-08-03,2026-08-03,124806.0
1998-02-01,2026-08-03,2026-08-03,125017.0
1998-03-01,2026-08-03,2026-08-03,125165.0
1998-04-01,2026-08-03,2026-08-03,125445.0
1998-05-01,2026-08-03,2026-08-03,125845.0
1998-06-01,2026-08-03,2026-08-03,126076.0
1998-07-01,2026-08-03,2026-08-03,126212.0
1998-08-01,2026-08-03,2026-08-03,126546.0
1998-09-01,2026-08-03,2026-08-03,126744.0
1998-10-01,2026-08-03,2026-08-03,126949.0
1998-11-01,2026-08-03,2026-08-03,127222.0
1998-12-01,2026-08-03,2026-08-03,127595.0
1999-01-01,2026-08-03,2026-08-03,127699.0
1999-02-01,2026-08-03,2026-08-03,128117.0
1999-03-01,2026-08-03,2026-08-03,128234.0
1999-04-01,2026-08-03,2026-08-03,128595.0
1999-05-01,2026-08-03,2026-08-03,128813.0
1999-06-01,2026-08-03,2026-08-03,129084.0
1999-07-01,2026-08-03,2026-08-03,129422.0
1999-08-01,2026-08-03,2026-08-03,129572.0
1999-09-01,2026-08-03,2026-08-03,129771.0
1999-10-01,2026-08-03,2026-08-03,130178.0
1999-11-01,2026-08-03,2026-08-03,130466.0
1999-12-01,2026-08-03,2026-08-03,130783.0
2000-01-01,2026-08-03,2026-08-03,131011.0
2000-02-01,2026-08-03,2026-08-03,131120.0
2000-03-01,2026-08-03,2026-08-03,131604.0
2000-04-01,2026-08-03,2026-08-03,131884.0
2000-05-01,2026-08-03,2026-08-03,132105.0
2000-06-01,2026-08-03,2026-08-03,132063.0
2000-07-01,2026-08-03,2026-08-03,132228.0
2000-08-01,2026-08-03,2026-08-03,132234.0
2000-09-01,2026-08-03,2026-08-03,132337.0
2000-10-01,2026-08-03,2026-08-03,132352.0
2000-11-01,2026-08-03,2026-08-03,132556.0
2000-12-01,2026-08-03,2026-08-03,132716.0
2001-01-01,2026-08-03,2026-08-03,132703.0
2001-02-01,2026-08-03,2026-08-03,132788.0
2001-03-01,2026-08-03,2026-08-03,132751.0
2001-04-01,2026-08-03,2026-08-03,132458.0
2001-05-01,2026-08-03,2026-08-03,132408.0
2001-06-01,2026-08-03,2026-08-03,132300.0
2001-07-01,2026-08-03,2026-08-03,132172.0
2001-08-01,2026-08-03,2026-08-03,132021.0
2001-09-01,2026-08-03,2026-08-03,131763.0
2001-10-01,2026-08-03,2026-08-03,131452.0
2001-11-01,2026-08-03,2026-08-03,131144.0
2001-12-01,2026-08-03,2026-08-03,130983.0
