vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,MacroIndustryData,中国CPI消费品当月同比2020年至2026年月度,1,EDB取数,,,"| 指标代码 | 指标名称 | 频率 | 单位 | 值 | 日期 | 数据来源 |
| -------- | -------- | -------- | -------- | -------- | -------- | -------- |
| 191001485 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期同比增长率:月 | 月 | % | 1.1 | 2026-06-30 | 国家统计局 |
| 191001485 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期同比增长率:月 | 月 | % | 1.6 | 2026-05-31 | 国家统计局 |
| 191001485 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期同比增长率:月 | 月 | % | 1.4 | 2026-04-30 | 国家统计局 |
| 191001485 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期同比增长率:月 | 月 | % | 1.3 | 2026-03-31 | 国家统计局 |
| 191001485 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期同比增长率:月 | 月 | % | 1.1 | 2026-02-28 | 国家统计局 |
| 191001485 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期同比增长率:月 | 月 | % | 0.3 | 2026-01-31 | 国家统计局 |
| 191001485 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期同比增长率:月 | 月 | % | 1.0 | 2025-12-31 | 国家统计局 |
| 191001485 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期同比增长率:月 | 月 | % | 0.6 | 2025-11-30 | 国家统计局 |
| 191001485 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期同比增长率:月 | 月 | % | -0.2 | 2025-10-31 | 国家统计局 |
| 191001485 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期同比增长率:月 | 月 | % | -0.8 | 2025-09-30 | 国家统计局 |
| 191001485 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期同比增长率:月 | 月 | % | -1.0 | 2025-08-31 | 国家统计局 |
| 191001485 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期同比增长率:月 | 月 | % | -0.4 | 2025-07-31 | 国家统计局 |
| 191001485 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期同比增长率:月 | 月 | % | -0.2 | 2025-06-30 | 国家统计局 |
| 191001485 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期同比增长率:月 | 月 | % | -0.5 | 2025-05-31 | 国家统计局 |
| 191001485 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期同比增长率:月 | 月 | % | -0.3 | 2025-04-30 | 国家统计局 |
| 191001485 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期同比增长率:月 | 月 | % | -0.4 | 2025-03-31 | 国家统计局 |
| 191001485 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期同比增长率:月 | 月 | % | -0.9 | 2025-02-28 | 国家统计局 |
| 191001485 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期同比增长率:月 | 月 | % | 0.1 | 2025-01-31 | 国家统计局 |
| 191001485 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期同比增长率:月 | 月 | % | -0.2 | 2024-12-31 | 国家统计局 |
| 191001485 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期同比增长率:月 | 月 | % | 0.0 | 2024-11-30 | 国家统计局 |
| 191001485 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期同比增长率:月 | 月 | % | 0.2 | 2024-10-31 | 国家统计局 |
| 191001485 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期同比增长率:月 | 月 | % | 0.5 | 2024-09-30 | 国家统计局 |
| 191001485 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期同比增长率:月 | 月 | % | 0.7 | 2024-08-31 | 国家统计局 |
| 191001485 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期同比增长率:月 | 月 | % | 0.5 | 2024-07-31 | 国家统计局 |
| 191001485 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期同比增长率:月 | 月 | % | -0.1 | 2024-06-30 | 国家统计局 |
| 191001485 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期同比增长率:月 | 月 | % | 0.0 | 2024-05-31 | 国家统计局 |
| 191001485 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期同比增长率:月 | 月 | % | 0.0 | 2024-04-30 | 国家统计局 |
| 191001485 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期同比增长率:月 | 月 | % | -0.4 | 2024-03-31 | 国家统计局 |
| 191001485 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期同比增长率:月 | 月 | % | -0.1 | 2024-02-29 | 国家统计局 |
| 191001485 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期同比增长率:月 | 月 | % | -1.7 | 2024-01-31 | 国家统计局 |
| 191001485 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期同比增长率:月 | 月 | % | -1.1 | 2023-12-31 | 国家统计局 |
| 191001485 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期同比增长率:月 | 月 | % | -1.4 | 2023-11-30 | 国家统计局 |
| 191001485 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期同比增长率:月 | 月 | % | -1.1 | 2023-10-31 | 国家统计局 |
| 191001485 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期同比增长率:月 | 月 | % | -0.9 | 2023-09-30 | 国家统计局 |
| 191001485 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期同比增长率:月 | 月 | % | -0.7 | 2023-08-31 | 国家统计局 |
| 191001485 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期同比增长率:月 | 月 | % | -1.3 | 2023-07-31 | 国家统计局 |
| 191001485 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期同比增长率:月 | 月 | % | -0.5 | 2023-06-30 | 国家统计局 |
| 191001485 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期同比增长率:月 | 月 | % | -0.3 | 2023-05-31 | 国家统计局 |
| 191001485 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期同比增长率:月 | 月 | % | -0.4 | 2023-04-30 | 国家统计局 |
| 191001485 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期同比增长率:月 | 月 | % | 0.5 | 2023-03-31 | 国家统计局 |
| 191001485 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期同比增长率:月 | 月 | % | 1.2 | 2023-02-28 | 国家统计局 |
| 191001485 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期同比增长率:月 | 月 | % | 2.8 | 2023-01-31 | 国家统计局 |
| 191001485 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期同比增长率:月 | 月 | % | 2.6 | 2022-12-31 | 国家统计局 |
