vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,MacroIndustryData,中国CPI食品烟酒当月同比2020年至2026年月度,1,EDB取数,,,"| 指标代码 | 指标名称 | 频率 | 单位 | 值 | 日期 | 数据来源 |
| -------- | -------- | -------- | -------- | -------- | -------- | -------- |
| 191001487 | 中国:居民消费价格指数(CPI):上年同月=100:食品烟酒类:当期同比增长率:月 | 月 | % | -0.8 | 2026-06-30 | 国家统计局 |
| 191001487 | 中国:居民消费价格指数(CPI):上年同月=100:食品烟酒类:当期同比增长率:月 | 月 | % | -0.9 | 2026-05-31 | 国家统计局 |
| 191001487 | 中国:居民消费价格指数(CPI):上年同月=100:食品烟酒类:当期同比增长率:月 | 月 | % | -0.8 | 2026-04-30 | 国家统计局 |
| 191001487 | 中国:居民消费价格指数(CPI):上年同月=100:食品烟酒类:当期同比增长率:月 | 月 | % | 0.4 | 2026-03-31 | 国家统计局 |
| 191001487 | 中国:居民消费价格指数(CPI):上年同月=100:食品烟酒类:当期同比增长率:月 | 月 | % | 1.4 | 2026-02-28 | 国家统计局 |
| 191001487 | 中国:居民消费价格指数(CPI):上年同月=100:食品烟酒类:当期同比增长率:月 | 月 | % | -0.2 | 2026-01-31 | 国家统计局 |
| 191001487 | 中国:居民消费价格指数(CPI):上年同月=100:食品烟酒类:当期同比增长率:月 | 月 | % | 0.8 | 2025-12-31 | 国家统计局 |
| 191001487 | 中国:居民消费价格指数(CPI):上年同月=100:食品烟酒类:当期同比增长率:月 | 月 | % | 0.3 | 2025-11-30 | 国家统计局 |
| 191001487 | 中国:居民消费价格指数(CPI):上年同月=100:食品烟酒类:当期同比增长率:月 | 月 | % | -1.6 | 2025-10-31 | 国家统计局 |
| 191001487 | 中国:居民消费价格指数(CPI):上年同月=100:食品烟酒类:当期同比增长率:月 | 月 | % | -2.6 | 2025-09-30 | 国家统计局 |
| 191001487 | 中国:居民消费价格指数(CPI):上年同月=100:食品烟酒类:当期同比增长率:月 | 月 | % | -2.5 | 2025-08-31 | 国家统计局 |
| 191001487 | 中国:居民消费价格指数(CPI):上年同月=100:食品烟酒类:当期同比增长率:月 | 月 | % | -0.8 | 2025-07-31 | 国家统计局 |
| 191001487 | 中国:居民消费价格指数(CPI):上年同月=100:食品烟酒类:当期同比增长率:月 | 月 | % | 0.1 | 2025-06-30 | 国家统计局 |
| 191001487 | 中国:居民消费价格指数(CPI):上年同月=100:食品烟酒类:当期同比增长率:月 | 月 | % | 0.1 | 2025-05-31 | 国家统计局 |
| 191001487 | 中国:居民消费价格指数(CPI):上年同月=100:食品烟酒类:当期同比增长率:月 | 月 | % | 0.3 | 2025-04-30 | 国家统计局 |
| 191001487 | 中国:居民消费价格指数(CPI):上年同月=100:食品烟酒类:当期同比增长率:月 | 月 | % | -0.6 | 2025-03-31 | 国家统计局 |
| 191001487 | 中国:居民消费价格指数(CPI):上年同月=100:食品烟酒类:当期同比增长率:月 | 月 | % | -1.9 | 2025-02-28 | 国家统计局 |
| 191001487 | 中国:居民消费价格指数(CPI):上年同月=100:食品烟酒类:当期同比增长率:月 | 月 | % | 0.6 | 2025-01-31 | 国家统计局 |
| 191001487 | 中国:居民消费价格指数(CPI):上年同月=100:食品烟酒类:当期同比增长率:月 | 月 | % | 0.0 | 2024-12-31 | 国家统计局 |
| 191001487 | 中国:居民消费价格指数(CPI):上年同月=100:食品烟酒类:当期同比增长率:月 | 月 | % | 0.9 | 2024-11-30 | 国家统计局 |
| 191001487 | 中国:居民消费价格指数(CPI):上年同月=100:食品烟酒类:当期同比增长率:月 | 月 | % | 2.0 | 2024-10-31 | 国家统计局 |
| 191001487 | 中国:居民消费价格指数(CPI):上年同月=100:食品烟酒类:当期同比增长率:月 | 月 | % | 2.3 | 2024-09-30 | 国家统计局 |
