vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,MacroIndustryData,中国社会融资规模增量政府债券2015年至2026年月度数据,1,EDB取数,,,"| 指标代码 | 指标名称 | 频率 | 单位 | 值 | 日期 | 数据来源 |
| -------- | -------- | -------- | -------- | -------- | -------- | -------- |
| 185782350 | 中国:社会融资规模增量:政府债券:累计值:月 | 月 | 亿元 | 64396.0 | 2026-06-30 | 聚源计算 |
| 185782350 | 中国:社会融资规模增量:政府债券:累计值:月 | 月 | 亿元 | 56713.0 | 2026-05-31 | 聚源计算 |
| 185782350 | 中国:社会融资规模增量:政府债券:累计值:月 | 月 | 亿元 | 44477.0 | 2026-04-30 | 聚源计算 |
| 185782350 | 中国:社会融资规模增量:政府债券:累计值:月 | 月 | 亿元 | 35436.0 | 2026-03-31 | 聚源计算 |
| 185782350 | 中国:社会融资规模增量:政府债券:累计值:月 | 月 | 亿元 | 23778.0 | 2026-02-28 | 聚源计算 |
| 185782350 | 中国:社会融资规模增量:政府债券:累计值:月 | 月 | 亿元 | 9764.0 | 2026-01-31 | 聚源计算 |
| 185782350 | 中国:社会融资规模增量:政府债券:累计值:月 | 月 | 亿元 | 138369.0 | 2025-12-31 | 聚源计算 |
| 185782350 | 中国:社会融资规模增量:政府债券:累计值:月 | 月 | 亿元 | 131536.0 | 2025-11-30 | 聚源计算 |
| 185782350 | 中国:社会融资规模增量:政府债券:累计值:月 | 月 | 亿元 | 119459.0 | 2025-10-31 | 聚源计算 |
| 185782350 | 中国:社会融资规模增量:政府债券:累计值:月 | 月 | 亿元 | 114607.0 | 2025-09-30 | 聚源计算 |
| 185782350 | 中国:社会融资规模增量:政府债券:累计值:月 | 月 | 亿元 | 102714.0 | 2025-08-31 | 聚源计算 |
| 185782350 | 中国:社会融资规模增量:政府债券:累计值:月 | 月 | 亿元 | 89042.0 | 2025-07-31 | 聚源计算 |
| 185782350 | 中国:社会融资规模增量:政府债券:累计值:月 | 月 | 亿元 | 76560.0 | 2025-06-30 | 聚源计算 |
| 185782350 | 中国:社会融资规模增量:政府债券:累计值:月 | 月 | 亿元 | 63052.0 | 2025-05-31 | 聚源计算 |
| 185782350 | 中国:社会融资规模增量:政府债券:累计值:月 | 月 | 亿元 | 48467.0 | 2025-04-30 | 聚源计算 |
| 185782350 | 中国:社会融资规模增量:政府债券:累计值:月 | 月 | 亿元 | 38738.0 | 2025-03-31 | 聚源计算 |
| 185782350 | 中国:社会融资规模增量:政府债券:累计值:月 | 月 | 亿元 | 23872.0 | 2025-02-28 | 聚源计算 |
| 185782350 | 中国:社会融资规模增量:政府债券:累计值:月 | 月 | 亿元 | 6933.0 | 2025-01-31 | 聚源计算 |
| 185782350 | 中国:社会融资规模增量:政府债券:累计值:月 | 月 | 亿元 | 112954.0 | 2024-12-31 | 聚源计算 |
| 185782350 | 中国:社会融资规模增量:政府债券:累计值:月 | 月 | 亿元 | 95388.0 | 2024-11-30 | 聚源计算 |
| 185782350 | 中国:社会融资规模增量:政府债券:累计值:月 | 月 | 亿元 | 82299.0 | 2024-10-31 | 聚源计算 |
| 185782350 | 中国:社会融资规模增量:政府债券:累计值:月 | 月 | 亿元 | 71804.0 | 2024-09-30 | 聚源计算 |
| 185782350 | 中国:社会融资规模增量:政府债券:累计值:月 | 月 | 亿元 | 56447.0 | 2024-08-31 | 聚源计算 |
| 185782350 | 中国:社会融资规模增量:政府债券:累计值:月 | 月 | 亿元 | 40270.0 | 2024-07-31 | 聚源计算 |
| 185782350 | 中国:社会融资规模增量:政府债券:累计值:月 | 月 | 亿元 | 33389.0 | 2024-06-30 | 聚源计算 |
| 185782350 | 中国:社会融资规模增量:政府债券:累计值:月 | 月 | 亿元 | 24913.0 | 2024-05-31 | 聚源计算 |
| 185782350 | 中国:社会融资规模增量:政府债券:累计值:月 | 月 | 亿元 | 12647.0 | 2024-04-30 | 聚源计算 |
| 185782350 | 中国:社会融资规模增量:政府债券:累计值:月 | 月 | 亿元 | 13584.0 | 2024-03-31 | 聚源计算 |
| 185782350 | 中国:社会融资规模增量:政府债券:累计值:月 | 月 | 亿元 | 8958.0 | 2024-02-29 | 聚源计算 |
| 185782350 | 中国:社会融资规模增量:政府债券:累计值:月 | 月 | 亿元 | 2947.0 | 2024-01-31 | 聚源计算 |
| 185782350 | 中国:社会融资规模增量:政府债券:累计值:月 | 月 | 亿元 | 96045.0 | 2023-12-31 | 聚源计算 |
| 185782350 | 中国:社会融资规模增量:政府债券:累计值:月 | 月 | 亿元 | 86721.0 | 2023-11-30 | 聚源计算 |
| 185782350 | 中国:社会融资规模增量:政府债券:累计值:月 | 月 | 亿元 | 75209.0 | 2023-10-31 | 聚源计算 |
| 185782350 | 中国:社会融资规模增量:政府债券:累计值:月 | 月 | 亿元 | 59571.0 | 2023-09-30 | 聚源计算 |
| 185782350 | 中国:社会融资规模增量:政府债券:累计值:月 | 月 | 亿元 | 49651.0 | 2023-08-31 | 聚源计算 |
| 185782350 | 中国:社会融资规模增量:政府债券:累计值:月 | 月 | 亿元 | 37892.0 | 2023-07-31 | 聚源计算 |
| 185782350 | 中国:社会融资规模增量:政府债券:累计值:月 | 月 | 亿元 | 33783.0 | 2023-06-30 | 聚源计算 |
| 185782350 | 中国:社会融资规模增量:政府债券:累计值:月 | 月 | 亿元 | 28412.0 | 2023-05-31 | 聚源计算 |
| 185782350 | 中国:社会融资规模增量:政府债券:累计值:月 | 月 | 亿元 | 22841.0 | 2023-04-30 | 聚源计算 |
| 185782350 | 中国:社会融资规模增量:政府债券:累计值:月 | 月 | 亿元 | 18293.0 | 2023-03-31 | 聚源计算 |
| 185782350 | 中国:社会融资规模增量:政府债券:累计值:月 | 月 | 亿元 | 12278.0 | 2023-02-28 | 聚源计算 |
| 185782350 | 中国:社会融资规模增量:政府债券:累计值:月 | 月 | 亿元 | 4140.0 | 2023-01-31 | 聚源计算 |
| 185782350 | 中国:社会融资规模增量:政府债券:累计值:月 | 月 | 亿元 | 71228.0 | 2022-12-31 | 聚源计算 |
| 185782350 | 中国:社会融资规模增量:政府债券:累计值:月 | 月 | 亿元 | 68419.0 | 2022-11-30 | 聚源计算 |
| 185782350 | 中国:社会融资规模增量:政府债券:累计值:月 | 月 | 亿元 | 61899.0 | 2022-10-31 | 聚源计算 |
| 185782350 | 中国:社会融资规模增量:政府债券:累计值:月 | 月 | 亿元 | 59108.0 | 2022-09-30 | 聚源计算 |
| 185782350 | 中国:社会融资规模增量:政府债券:累计值:月 | 月 | 亿元 | 53575.0 | 2022-08-31 | 聚源计算 |
| 185782350 | 中国:社会融资规模增量:政府债券:累计值:月 | 月 | 亿元 | 50530.0 | 2022-07-31 | 聚源计算 |
| 185782350 | 中国:社会融资规模增量:政府债券:累计值:月 | 月 | 亿元 | 46532.0 | 2022-06-30 | 聚源计算 |
| 185782350 | 中国:社会融资规模增量:政府债券:累计值:月 | 月 | 亿元 | 30316.0 | 2022-05-31 | 聚源计算 |
| 185782350 | 中国:社会融资规模增量:政府债券:累计值:月 | 月 | 亿元 | 19734.0 | 2022-04-30 | 聚源计算 |
| 185782350 | 中国:社会融资规模增量:政府债券:累计值:月 | 月 | 亿元 | 15822.0 | 2022-03-31 | 聚源计算 |
| 185782350 | 中国:社会融资规模增量:政府债券:累计值:月 | 月 | 亿元 | 8748.0 | 2022-02-28 | 聚源计算 |
| 185782350 | 中国:社会融资规模增量:政府债券:累计值:月 | 月 | 亿元 | 6026.0 | 2022-01-31 | 聚源计算 |
| 185782350 | 中国:社会融资规模增量:政府债券:累计值:月 | 月 | 亿元 | 70156.0 | 2021-12-31 | 聚源计算 |
| 185782350 | 中国:社会融资规模增量:政府债券:累计值:月 | 月 | 亿元 | 58482.0 | 2021-11-30 | 聚源计算 |
| 185782350 | 中国:社会融资规模增量:政府债券:累计值:月 | 月 | 亿元 | 50324.0 | 2021-10-31 | 聚源计算 |
| 185782350 | 中国:社会融资规模增量:政府债券:累计值:月 | 月 | 亿元 | 44157.0 | 2021-09-30 | 聚源计算 |
| 185782350 | 中国:社会融资规模增量:政府债券:累计值:月 | 月 | 亿元 | 36091.0 | 2021-08-31 | 聚源计算 |
| 185782350 | 中国:社会融资规模增量:政府债券:累计值:月 | 月 | 亿元 | 26353.0 | 2021-07-31 | 聚源计算 |
| 185782350 | 中国:社会融资规模增量:政府债券:累计值:月 | 月 | 亿元 | 24533.0 | 2021-06-30 | 聚源计算 |
| 185782350 | 中国:社会融资规模增量:政府债券:累计值:月 | 月 | 亿元 | 17025.0 | 2021-05-31 | 聚源计算 |
| 185782350 | 中国:社会融资规模增量:政府债券:累计值:月 | 月 | 亿元 | 10324.0 | 2021-04-30 | 聚源计算 |
| 185782350 | 中国:社会融资规模增量:政府债券:累计值:月 | 月 | 亿元 | 6585.0 | 2021-03-31 | 聚源计算 |
| 185782350 | 中国:社会融资规模增量:政府债券:累计值:月 | 月 | 亿元 | 3454.0 | 2021-02-28 | 聚源计算 |
| 185782350 | 中国:社会融资规模增量:政府债券:累计值:月 | 月 | 亿元 | 2437.0 | 2021-01-31 | 聚源计算 |
| 185782350 | 中国:社会融资规模增量:政府债券:累计值:月 | 月 | 亿元 | 83217.0 | 2020-12-31 | 聚源计算 |
| 185782350 | 中国:社会融资规模增量:政府债券:累计值:月 | 月 | 亿元 | 76244.0 | 2020-11-30 | 聚源计算 |
| 185782350 | 中国:社会融资规模增量:政府债券:累计值:月 | 月 | 亿元 | 72244.0 | 2020-10-31 | 聚源计算 |
| 185782350 | 中国:社会融资规模增量:政府债券:累计值:月 | 月 | 亿元 | 67313.0 | 2020-09-30 | 聚源计算 |
| 185782350 | 中国:社会融资规模增量:政府债券:累计值:月 | 月 | 亿元 | 57197.0 | 2020-08-31 | 聚源计算 |
| 185782350 | 中国:社会融资规模增量:政府债券:累计值:月 | 月 | 亿元 | 43409.0 | 2020-07-31 | 聚源计算 |
| 185782350 | 中国:社会融资规模增量:政府债券:累计值:月 | 月 | 亿元 | 37950.0 | 2020-06-30 | 聚源计算 |
| 185782350 | 中国:社会融资规模增量:政府债券:累计值:月 | 月 | 亿元 | 30500.0 | 2020-05-31 | 聚源计算 |
| 185782350 | 中国:社会融资规模增量:政府债券:累计值:月 | 月 | 亿元 | 19138.0 | 2020-04-30 | 聚源计算 |
| 185782350 | 中国:社会融资规模增量:政府债券:累计值:月 | 月 | 亿元 | 15781.0 | 2020-03-31 | 聚源计算 |
| 185782350 | 中国:社会融资规模增量:政府债券:累计值:月 | 月 | 亿元 | 9437.0 | 2020-02-29 | 聚源计算 |
| 185782350 | 中国:社会融资规模增量:政府债券:累计值:月 | 月 | 亿元 | 7613.0 | 2020-01-31 | 聚源计算 |
| 185782350 | 中国:社会融资规模增量:政府债券:累计值:月 | 月 | 亿元 | 47203.652805 | 2019-12-31 | 聚源计算 |
| 185782350 | 中国:社会融资规模增量:政府债券:累计值:月 | 月 | 亿元 | 43465.487666 | 2019-11-30 | 聚源计算 |
| 185782350 | 中国:社会融资规模增量:政府债券:累计值:月 | 月 | 亿元 | 41749.48749 | 2019-10-31 | 聚源计算 |
| 185782350 | 中国:社会融资规模增量:政府债券:累计值:月 | 月 | 亿元 | 39878.597471 | 2019-09-30 | 聚源计算 |
| 185782350 | 中国:社会融资规模增量:政府债券:累计值:月 | 月 | 亿元 | 36101.62882 | 2019-08-31 | 聚源计算 |
| 185782350 | 中国:社会融资规模增量:政府债券:累计值:月 | 月 | 亿元 | 31042.65464 | 2019-07-31 | 聚源计算 |
| 185782350 | 中国:社会融资规模增量:政府债券:累计值:月 | 月 | 亿元 | 24615.334909 | 2019-06-30 | 聚源计算 |
| 185782350 | 中国:社会融资规模增量:政府债券:累计值:月 | 月 | 亿元 | 17748.069275 | 2019-05-31 | 聚源计算 |
| 185782350 | 中国:社会融资规模增量:政府债券:累计值:月 | 月 | 亿元 | 13891.34702 | 2019-04-30 | 聚源计算 |
| 185782350 | 中国:社会融资规模增量:政府债券:累计值:月 | 月 | 亿元 | 9458.652003 | 2019-03-31 | 聚源计算 |
| 185782350 | 中国:社会融资规模增量:政府债券:累计值:月 | 月 | 亿元 | 6046.467779 | 2019-02-28 | 聚源计算 |
| 185782350 | 中国:社会融资规模增量:政府债券:累计值:月 | 月 | 亿元 | 1699.766677 | 2019-01-31 | 聚源计算 |
| 185782350 | 中国:社会融资规模增量:政府债券:累计值:月 | 月 | 亿元 | 48530.846171 | 2018-12-31 | 聚源计算 |
| 185782350 | 中国:社会融资规模增量:政府债券:累计值:月 | 月 | 亿元 | 45079.092112 | 2018-11-30 | 聚源计算 |
| 185782350 | 中国:社会融资规模增量:政府债券:累计值:月 | 月 | 亿元 | 45326.298668 | 2018-10-31 | 聚源计算 |
| 185782350 | 中国:社会融资规模增量:政府债券:累计值:月 | 月 | 亿元 | 42294.255338 | 2018-09-30 | 聚源计算 |
| 185782350 | 中国:社会融资规模增量:政府债券:累计值:月 | 月 | 亿元 | 33186.143982 | 2018-08-31 | 聚源计算 |
| 185782350 | 中国:社会融资规模增量:政府债券:累计值:月 | 月 | 亿元 | 24534.803702 | 2018-07-31 | 聚源计算 |
| 185782350 | 中国:社会融资规模增量:政府债券:累计值:月 | 月 | 亿元 | 16536.691409 | 2018-06-30 | 聚源计算 |
| 185782350 | 中国:社会融资规模增量:政府债券:累计值:月 | 月 | 亿元 | 10027.359345 | 2018-05-31 | 聚源计算 |
| 185782350 | 中国:社会融资规模增量:政府债券:累计值:月 | 月 | 亿元 | 7299.306746 | 2018-04-30 | 聚源计算 |
| 185782350 | 中国:社会融资规模增量:政府债券:累计值:月 | 月 | 亿元 | 1996.482415 | 2018-03-31 | 聚源计算 |
| 185782350 | 中国:社会融资规模增量:政府债券:累计值:月 | 月 | 亿元 | 180.634028 | 2018-02-28 | 聚源计算 |
| 185782350 | 中国:社会融资规模增量:政府债券:累计值:月 | 月 | 亿元 | 5.362437 | 2018-01-31 | 聚源计算 |
| 185782350 | 中国:社会融资规模增量:政府债券:累计值:月 | 月 | 亿元 | 55804.068636 | 2017-12-31 | 聚源计算 |
| 185782350 | 中国:社会融资规模增量:政府债券:累计值:月 | 月 | 亿元 | 53045.136539 | 2017-11-30 | 聚源计算 |
| 185782350 | 中国:社会融资规模增量:政府债券:累计值:月 | 月 | 亿元 | 47065.835646 | 2017-10-31 | 聚源计算 |
| 185782350 | 中国:社会融资规模增量:政府债券:累计值:月 | 月 | 亿元 | 42097.879335 | 2017-09-30 | 聚源计算 |
