vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,MacroIndustryData,中国对美国进出口总额2020年至2026年月度,1,EDB取数,,,"| 指标代码 | 指标名称 | 频率 | 单位 | 值 | 日期 | 数据来源 |
| -------- | -------- | -------- | -------- | -------- | -------- | -------- |
| 210008012 | 中国:进出口总额:按来源地分:以美元计:美国:累计值:月 | 月 | 美元 | 289146069.265 | 2026-06-30 | 海关总署 |
| 210008012 | 中国:进出口总额:按来源地分:以美元计:美国:累计值:月 | 月 | 美元 | 231245472.759 | 2026-05-31 | 海关总署 |
| 210008012 | 中国:进出口总额:按来源地分:以美元计:美国:累计值:月 | 月 | 美元 | 179202688.279 | 2026-04-30 | 海关总署 |
| 210008012 | 中国:进出口总额:按来源地分:以美元计:美国:累计值:月 | 月 | 美元 | 128681434.664 | 2026-03-31 | 海关总署 |
| 210008012 | 中国:进出口总额:按来源地分:以美元计:美国:累计值:月 | 月 | 美元 | 86643641.313 | 2026-02-28 | 海关总署 |
| 210008012 | 中国:进出口总额:按来源地分:以美元计:美国:累计值:月 | 月 | 美元 | 46604855.477 | 2026-01-31 | 海关总署 |
| 210008012 | 中国:进出口总额:按来源地分:以美元计:美国:累计值:月 | 月 | 美元 | 559747180.239 | 2025-12-31 | 海关总署 |
| 210008012 | 中国:进出口总额:按来源地分:以美元计:美国:累计值:月 | 月 | 美元 | 514662130.155 | 2025-11-30 | 海关总署 |
| 210008012 | 中国:进出口总额:按来源地分:以美元计:美国:累计值:月 | 月 | 美元 | 470857623.837 | 2025-10-31 | 海关总署 |
| 210008012 | 中国:进出口总额:按来源地分:以美元计:美国:累计值:月 | 月 | 美元 | 425816051.233 | 2025-09-30 | 海关总署 |
| 210008012 | 中国:进出口总额:按来源地分:以美元计:美国:累计值:月 | 月 | 美元 | 380064860.674 | 2025-08-31 | 海关总署 |
| 210008012 | 中国:进出口总额:按来源地分:以美元计:美国:累计值:月 | 月 | 美元 | 337223551.82 | 2025-07-31 | 海关总署 |
| 210008012 | 中国:进出口总额:按来源地分:以美元计:美国:累计值:月 | 月 | 美元 | 289361410.088 | 2025-06-30 | 海关总署 |
| 210008012 | 中国:进出口总额:按来源地分:以美元计:美国:累计值:月 | 月 | 美元 | 239709776.338 | 2025-05-31 | 海关总署 |
| 210008012 | 中国:进出口总额:按来源地分:以美元计:美国:累计值:月 | 月 | 美元 | 200130878.395 | 2025-04-30 | 海关总署 |
| 210008012 | 中国:进出口总额:按来源地分:以美元计:美国:累计值:月 | 月 | 美元 | 154584658.77 | 2025-03-31 | 海关总署 |
| 210008012 | 中国:进出口总额:按来源地分:以美元计:美国:累计值:月 | 月 | 美元 | 102069697.82 | 2025-02-28 | 海关总署 |
| 210008012 | 中国:进出口总额:按来源地分:以美元计:美国:累计值:月 | 月 | 美元 | 61290037.307 | 2025-01-31 | 海关总署 |
| 210008012 | 中国:进出口总额:按来源地分:以美元计:美国:累计值:月 | 月 | 美元 | 688280335.735 | 2024-12-31 | 海关总署 |
| 210008012 | 中国:进出口总额:按来源地分:以美元计:美国:累计值:月 | 月 | 美元 | 624491494.036 | 2024-11-30 | 海关总署 |
| 210008012 | 中国:进出口总额:按来源地分:以美元计:美国:累计值:月 | 月 | 美元 | 564174150.66 | 2024-10-31 | 海关总署 |
| 210008012 | 中国:进出口总额:按来源地分:以美元计:美国:累计值:月 | 月 | 美元 | 504403916.719 | 2024-09-30 | 海关总署 |
| 210008012 | 中国:进出口总额:按来源地分:以美元计:美国:累计值:月 | 月 | 美元 | 443731323.546 | 2024-08-31 | 海关总署 |
| 210008012 | 中国:进出口总额:按来源地分:以美元计:美国:累计值:月 | 月 | 美元 | 383153748.404 | 2024-07-31 | 海关总署 |
| 210008012 | 中国:进出口总额:按来源地分:以美元计:美国:累计值:月 | 月 | 美元 | 322633895.69 | 2024-06-30 | 海关总署 |
| 210008012 | 中国:进出口总额:按来源地分:以美元计:美国:累计值:月 | 月 | 美元 | 263528379.417 | 2024-05-31 | 海关总署 |
| 210008012 | 中国:进出口总额:按来源地分:以美元计:美国:累计值:月 | 月 | 美元 | 206419985.259 | 2024-04-30 | 海关总署 |
| 210008012 | 中国:进出口总额:按来源地分:以美元计:美国:累计值:月 | 月 | 美元 | 150043267.735 | 2024-03-31 | 海关总署 |
| 210008012 | 中国:进出口总额:按来源地分:以美元计:美国:累计值:月 | 月 | 美元 | 99553560.591 | 2024-02-29 | 海关总署 |
| 210008012 | 中国:进出口总额:按来源地分:以美元计:美国:累计值:月 | 月 | 美元 | 56904075.672 | 2024-01-31 | 海关总署 |
| 210008012 | 中国:进出口总额:按来源地分:以美元计:美国:累计值:月 | 月 | 美元 | 664450816.36 | 2023-12-31 | 海关总署 |
| 210008012 | 中国:进出口总额:按来源地分:以美元计:美国:累计值:月 | 月 | 美元 | 607014424.47 | 2023-11-30 | 海关总署 |
| 210008012 | 中国:进出口总额:按来源地分:以美元计:美国:累计值:月 | 月 | 美元 | 550769748.377 | 2023-10-31 | 海关总署 |
| 210008012 | 中国:进出口总额:按来源地分:以美元计:美国:累计值:月 | 月 | 美元 | 495799999.15 | 2023-09-30 | 海关总署 |
| 210008012 | 中国:进出口总额:按来源地分:以美元计:美国:累计值:月 | 月 | 美元 | 438088178.876 | 2023-08-31 | 海关总署 |
| 210008012 | 中国:进出口总额:按来源地分:以美元计:美国:累计值:月 | 月 | 美元 | 381514166.197 | 2023-07-31 | 海关总署 |
| 210008012 | 中国:进出口总额:按来源地分:以美元计:美国:累计值:月 | 月 | 美元 | 327264234.727 | 2023-06-30 | 海关总署 |
| 210008012 | 中国:进出口总额:按来源地分:以美元计:美国:累计值:月 | 月 | 美元 | 274673233.173 | 2023-05-31 | 海关总署 |
| 210008012 | 中国:进出口总额:按来源地分:以美元计:美国:累计值:月 | 月 | 美元 | 217924002.623 | 2023-04-30 | 海关总署 |
